"genotype" "clonalcolony" "identifier"
"FY4-5" "A2-110316" 101310
"FY4-5" "A3-110316" 100675
"FY4-5" "A3-110316" 101045
"FY4-5" "A4-110316" 99158
"FY4-5" "A4-110316" 99190
"FY4-5" "A4-110316" 99198
"FY4-5" "A4-110316" 99215
"FY4-5" "A4-110316" 99223
"FY4-5" "A4-110316" 99240
"FY4-5" "A4-110316" 99269
"FY4-5" "A4-110316" 99270
"FY4-5" "A4-110316" 99271
"FY4-5" "A4-110316" 99272
"FY4-5" "A4-110316" 99352
"FY4-5" "A4-110316" 99418
"FY4-5" "A4-110316" 99513
"FY4-5" "A4-110316" 99547
"FY4-5" "A4-110316" 99564
"FY4-5" "A4-110316" 99572
"FY4-5" "A4-110316" 99575
"FY4-5" "A4-110316" 99615
"FY4-5" "A4-110316" 99714
"FY4-5" "A4-110316" 99751
"FY4-5" "A4-110316" 99828
"FY4-5" "A4-110316" 99833
"FY4-5" "A4-110316" 99906
"FY4-5" "A4-110316" 99965
"FY4-5" "A4-110316" 99966
"FY4-5" "A4-110316" 99986
"FY4-5" "A4-110316" 99999
"FY4-5" "A4-110316" 100033
"FY4-5" "A4-110316" 100093
"FY4-5" "A4-110316" 100094
"FY4-5" "A5-110316" 97852
"FY4-5" "A5-110316" 97857
"FY4-5" "A5-110316" 97858
"FY4-5" "A5-110316" 97867
"FY4-5" "A5-110316" 97873
"FY4-5" "A5-110316" 97909
"FY4-5" "A5-110316" 97910
"FY4-5" "A5-110316" 97911
"FY4-5" "A5-110316" 97913
"FY4-5" "A5-110316" 97945
"FY4-5" "A5-110316" 97949
"FY4-5" "A5-110316" 97951
"FY4-5" "A5-110316" 97952
"FY4-5" "A5-110316" 97953
"FY4-5" "A5-110316" 97957
"FY4-5" "A5-110316" 97969
"FY4-5" "A5-110316" 97970
"FY4-5" "A5-110316" 97972
"FY4-5" "A5-110316" 97974
"FY4-5" "A5-110316" 97977
"FY4-5" "A5-110316" 98004
"FY4-5" "A5-110316" 98011
"FY4-5" "A5-110316" 98012
"FY4-5" "A5-110316" 98014
"FY4-5" "A5-110316" 98028
"FY4-5" "A5-110316" 98029
"FY4-5" "A5-110316" 98030
"FY4-5" "A5-110316" 98031
"FY4-5" "A5-110316" 98033
"FY4-5" "A5-110316" 98036
"FY4-5" "A5-110316" 98037
"FY4-5" "A5-110316" 98038
"FY4-5" "A5-110316" 98053
"FY4-5" "A5-110316" 98058
"FY4-5" "A5-110316" 98059
"FY4-5" "A5-110316" 98060
"FY4-5" "A5-110316" 98061
"FY4-5" "A5-110316" 98064
"FY4-5" "A5-110316" 98073
"FY4-5" "A5-110316" 98075
"FY4-5" "A5-110316" 98080
"FY4-5" "A5-110316" 98081
"FY4-5" "A5-110316" 98082
"FY4-5" "A5-110316" 98083
"FY4-5" "A5-110316" 98084
"FY4-5" "A5-110316" 98097
"FY4-5" "A5-110316" 98098
"FY4-5" "A5-110316" 98101
"FY4-5" "A5-110316" 98102
"FY4-5" "A5-110316" 98104
"FY4-5" "A5-110316" 98106
"FY4-5" "A5-110316" 98119
"FY4-5" "A5-110316" 98122
"FY4-5" "A5-110316" 98126
"FY4-5" "A5-110316" 98129
"FY4-5" "A5-110316" 98131
"FY4-5" "A5-110316" 98149
"FY4-5" "A5-110316" 98150
"FY4-5" "A5-110316" 98156
"FY4-5" "A5-110316" 98157
"FY4-5" "A5-110316" 98162
"FY4-5" "A5-110316" 98165
"FY4-5" "A5-110316" 98180
"FY4-5" "A5-110316" 98181
"FY4-5" "A5-110316" 98182
"FY4-5" "A5-110316" 98183
"FY4-5" "A5-110316" 98184
"FY4-5" "A5-110316" 98186
"FY4-5" "A5-110316" 98187
"FY4-5" "A5-110316" 98190
"FY4-5" "A5-110316" 98198
