t0	Time	HIS3_2	HIS3_3	HIS3_4	HIS3_5	HTZ1_2	HTZ1_3	HTZ1_4	HTZ1_5
15/11/2011 10:10	15/11/2011 10:30	0.274	0.268	0.297	0.248	0.294	0.308	0.292	0.304
15/11/2011 10:10	15/11/2011 11:35	0.337	0.302	0.367	0.294	0.322	0.337	0.319	0.334
15/11/2011 10:10	15/11/2011 12:45	0.525	0.459	0.522	0.416	0.406	0.446	0.428	0.435
15/11/2011 10:10	15/11/2011 13:42	0.803	0.709	0.774	0.643	0.614	0.626	0.607	0.632
15/11/2011 10:10	15/11/2011 14:25	0.981	0.886	0.983	0.832	0.718	0.729	0.762	0.741
15/11/2011 10:10	15/11/2011 15:10	1.295	1.165	1.326	1.108	0.895	0.954	0.978	0.983
15/11/2011 10:10	15/11/2011 15:54	1.54	1.478	1.655	1.391	1.106	1.179	1.178	1.235
15/11/2011 10:10	15/11/2011 17:06	2.132	2.046	2.218	1.956	1.497	1.582	1.598	1.65
15/11/2011 10:10	15/11/2011 17:50	2.488	2.446	2.509	2.245	1.746	1.84	1.878	1.913
15/11/2011 10:10	15/11/2011 18:23	2.576	2.549	2.704	2.549	1.935	2.017	2.051	2.106
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
