Library	ORF 	Plate	Row	Column	Notes
LiqCurve	HIS3_1	1	1	1	
LiqCurve	HIS3_1	1	2	1	
LiqCurve	HIS3_2	1	3	1	
LiqCurve	HIS3_2	1	4	1	
LiqCurve	HIS3_3	1	5	1	
LiqCurve	HIS3_3	1	6	1	
LiqCurve	HIS3_4	1	7	1	
LiqCurve	HIS3_4	1	8	1	
LiqCurve	HIS3_5	1	9	1	
LiqCurve	HIS3_5	1	10	1	
LiqCurve	HIS3_6	1	11	1	
LiqCurve	HIS3_6	1	12	1	
LiqCurve	HIS3_7	1	13	1	
LiqCurve	HIS3_7	1	14	1	
LiqCurve	HIS3_8	1	15	1	
LiqCurve	HIS3_8	1	16	1	
LiqCurve	HIS3_1	1	1	2	
LiqCurve	HIS3_1	1	2	2	
LiqCurve	HIS3_2	1	3	2	
LiqCurve	HIS3_2	1	4	2	
LiqCurve	HIS3_3	1	5	2	
LiqCurve	HIS3_3	1	6	2	
LiqCurve	HIS3_4	1	7	2	
LiqCurve	HIS3_4	1	8	2	
LiqCurve	HIS3_5	1	9	2	
LiqCurve	HIS3_5	1	10	2	
LiqCurve	HIS3_6	1	11	2	
LiqCurve	HIS3_6	1	12	2	
LiqCurve	HIS3_7	1	13	2	
LiqCurve	HIS3_7	1	14	2	
LiqCurve	HIS3_8	1	15	2	
LiqCurve	HIS3_8	1	16	2	
LiqCurve	HTZ1_1	1	1	3	
LiqCurve	HTZ1_1	1	2	3	
LiqCurve	HTZ1_2	1	3	3	
LiqCurve	HTZ1_2	1	4	3	
LiqCurve	HTZ1_3	1	5	3	
LiqCurve	HTZ1_3	1	6	3	
LiqCurve	HTZ1_4	1	7	3	
LiqCurve	HTZ1_4	1	8	3	
LiqCurve	HTZ1_5	1	9	3	
LiqCurve	HTZ1_5	1	10	3	
LiqCurve	HTZ1_6	1	11	3	
LiqCurve	HTZ1_6	1	12	3	
LiqCurve	HTZ1_7	1	13	3	
LiqCurve	HTZ1_7	1	14	3	
LiqCurve	HTZ1_8	1	15	3	
LiqCurve	HTZ1_8	1	16	3	
LiqCurve	HTZ1_1	1	1	4	
LiqCurve	HTZ1_1	1	2	4	
LiqCurve	HTZ1_2	1	3	4	
LiqCurve	HTZ1_2	1	4	4	
LiqCurve	HTZ1_3	1	5	4	
LiqCurve	HTZ1_3	1	6	4	
LiqCurve	HTZ1_4	1	7	4	
LiqCurve	HTZ1_4	1	8	4	
LiqCurve	HTZ1_5	1	9	4	
LiqCurve	HTZ1_5	1	10	4	
LiqCurve	HTZ1_6	1	11	4	
LiqCurve	HTZ1_6	1	12	4	
LiqCurve	HTZ1_7	1	13	4	
LiqCurve	HTZ1_7	1	14	4	
LiqCurve	HTZ1_8	1	15	4	
LiqCurve	HTZ1_8	1	16	4	
LiqCurve	HIS3_1	1	1	5	
LiqCurve	HIS3_1	1	2	5	
LiqCurve	HIS3_2	1	3	5	
LiqCurve	HIS3_2	1	4	5	
LiqCurve	HIS3_3	1	5	5	
LiqCurve	HIS3_3	1	6	5	
LiqCurve	HIS3_4	1	7	5	
LiqCurve	HIS3_4	1	8	5	
LiqCurve	HIS3_5	1	9	5	
LiqCurve	HIS3_5	1	10	5	
LiqCurve	HIS3_6	1	11	5	
LiqCurve	HIS3_6	1	12	5	
LiqCurve	HIS3_7	1	13	5	
LiqCurve	HIS3_7	1	14	5	
LiqCurve	HIS3_8	1	15	5	
LiqCurve	HIS3_8	1	16	5	
LiqCurve	HIS3_1	1	1	6	
LiqCurve	HIS3_1	1	2	6	
LiqCurve	HIS3_2	1	3	6	
LiqCurve	HIS3_2	1	4	6	
LiqCurve	HIS3_3	1	5	6	
LiqCurve	HIS3_3	1	6	6	
LiqCurve	HIS3_4	1	7	6	
LiqCurve	HIS3_4	1	8	6	
LiqCurve	HIS3_5	1	9	6	
LiqCurve	HIS3_5	1	10	6	
LiqCurve	HIS3_6	1	11	6	
LiqCurve	HIS3_6	1	12	6	
LiqCurve	HIS3_7	1	13	6	
LiqCurve	HIS3_7	1	14	6	
LiqCurve	HIS3_8	1	15	6	
LiqCurve	HIS3_8	1	16	6	
LiqCurve	HTZ1_1	1	1	7	
LiqCurve	HTZ1_1	1	2	7	
LiqCurve	HTZ1_2	1	3	7	
LiqCurve	HTZ1_2	1	4	7	
LiqCurve	HTZ1_3	1	5	7	
LiqCurve	HTZ1_3	1	6	7	
LiqCurve	HTZ1_4	1	7	7	
LiqCurve	HTZ1_4	1	8	7	
LiqCurve	HTZ1_5	1	9	7	
LiqCurve	HTZ1_5	1	10	7	
