Culture	Time	TotalArea	Number
R06C10	1321349800.000000	10544.500000	156
R06C10	1321350924.000000	10292.500000	153
R06C10	1321352038.000000	10197.500000	150
R06C10	1321353160.000000	10878.000000	147
R06C10	1321354282.000000	11377.000000	143
R06C10	1321355410.000000	11377.000000	148
R06C10	1321356534.000000	10141.000000	157
R06C10	1321357666.000000	11716.000000	148
R06C10	1321358792.000000	13521.000000	149
R06C10	1321359920.000000	13313.000000	142
R06C10	1321361046.000000	12945.000000	159
R06C10	1321362176.000000	13275.000000	149
R06C10	1321363298.000000	14669.000000	149
R06C10	1321364430.000000	15390.000000	152
R06C10	1321365574.000000	14284.500000	151
R06C10	1321366704.000000	17061.500000	151
R06C10	1321367832.000000	18009.000000	146
R06C10	1321368956.000000	18929.500000	148
R06C10	1321370088.000000	17830.000000	149
R06C10	1321371218.000000	20821.000000	147
R06C10	1321372350.000000	22229.000000	152
R06C10	1321373496.000000	23373.000000	143
R06C10	1321374634.000000	24546.500000	144
R06C10	1321375766.000000	26822.500000	141
R06C10	1321376906.000000	28441.500000	147
R06C10	1321378044.000000	27937.500000	150
R06C10	1321379174.000000	32140.500000	138
R06C10	1321380302.000000	31235.500000	147
R06C10	1321381454.000000	34790.500000	141
R06C10	1321382584.000000	37490.000000	145
R06C10	1321383722.000000	38125.000000	146
R06C10	1321384860.000000	42236.500000	148
R06C10	1321385990.000000	47319.000000	144
R06C10	1321387124.000000	51326.500000	140
R06C10	1321388252.000000	55141.000000	146
R06C10	1321389396.000000	55670.500000	146
R06C10	1321390532.000000	60540.000000	140
R06C10	1321391666.000000	67393.000000	137
R06C10	1321392806.000000	72594.000000	138
R06C10	1321393944.000000	77218.000000	136
R06C10	1321395086.000000	84557.500000	133
R06C10	1321396232.000000	90081.500000	130
R06C10	1321397386.000000	96540.500000	134
R06C10	1321398532.000000	104459.000000	131
R06C10	1321399670.000000	112105.000000	133
R06C10	1321400808.000000	120060.000000	130
R06C10	1321401946.000000	131296.000000	126
R06C10	1321403084.000000	143783.500000	121
R06C10	1321404244.000000	153733.000000	119
R06C10	1321405382.000000	163427.000000	118
R06C10	1321406530.000000	176919.000000	112
R06C10	1321407672.000000	191802.500000	110
R06C10	1321408812.000000	205028.500000	103
R06C10	1321409956.000000	218880.000000	113
R06C10	1321411088.000000	237012.500000	105
R06C10	1321412258.000000	255959.500000	99
R06C10	1321413404.000000	266617.000000	105
R06C10	1321414548.000000	289160.500000	96
