Culture	Time	TotalArea	Number
R03C04	1321349398.000000	6707.000000	238
R03C04	1321350526.000000	10331.500000	253
R03C04	1321351640.000000	9484.000000	244
R03C04	1321352762.000000	10931.500000	238
R03C04	1321353882.000000	10719.500000	241
R03C04	1321355008.000000	10251.500000	244
R03C04	1321356134.000000	10524.500000	231
R03C04	1321357258.000000	11239.500000	241
R03C04	1321358390.000000	11871.500000	232
R03C04	1321359518.000000	13162.500000	234
R03C04	1321360642.000000	13334.500000	245
R03C04	1321361772.000000	13892.500000	253
R03C04	1321362898.000000	14819.000000	253
R03C04	1321364028.000000	16390.500000	241
R03C04	1321365160.000000	15403.500000	235
R03C04	1321366298.000000	17976.500000	233
R03C04	1321367430.000000	18808.000000	232
R03C04	1321368556.000000	19448.000000	243
R03C04	1321369680.000000	21536.000000	220
R03C04	1321370814.000000	22439.000000	228
R03C04	1321371944.000000	24417.000000	230
R03C04	1321373084.000000	26471.500000	222
R03C04	1321374228.000000	27639.500000	229
R03C04	1321375364.000000	29766.000000	219
R03C04	1321376500.000000	32544.000000	228
R03C04	1321377638.000000	35355.500000	220
R03C04	1321378772.000000	39423.000000	217
R03C04	1321379898.000000	43804.500000	229
R03C04	1321381040.000000	43686.500000	226
R03C04	1321382182.000000	48260.500000	210
R03C04	1321383316.000000	51432.000000	209
R03C04	1321384456.000000	55020.000000	229
R03C04	1321385586.000000	59793.500000	211
R03C04	1321386716.000000	67180.000000	208
R03C04	1321387850.000000	68812.000000	196
R03C04	1321388990.000000	78725.500000	200
R03C04	1321390128.000000	86797.000000	200
R03C04	1321391262.000000	92803.000000	203
R03C04	1321392400.000000	97997.000000	204
R03C04	1321393540.000000	109178.000000	209
R03C04	1321394680.000000	118107.000000	194
R03C04	1321395824.000000	127931.000000	200
R03C04	1321396982.000000	141798.000000	199
R03C04	1321398128.000000	149515.500000	196
R03C04	1321399272.000000	166699.000000	182
R03C04	1321400406.000000	179245.000000	194
R03C04	1321401544.000000	194748.500000	182
R03C04	1321402680.000000	214807.000000	184
R03C04	1321403826.000000	231612.500000	189
R03C04	1321404980.000000	251726.000000	162
R03C04	1321406124.000000	270434.500000	168
R03C04	1321407274.000000	298578.500000	165
R03C04	1321408412.000000	316566.500000	162
R03C04	1321409558.000000	345431.500000	156
R03C04	1321410684.000000	368464.000000	153
R03C04	1321411852.000000	400903.000000	141
R03C04	1321413002.000000	434170.500000	132
R03C04	1321414144.000000	466186.500000	116
R03C04	1321415288.000000	497198.500000	129
R03C04	1321416432.000000	447721.000000	88
R03C04	1321417608.000000	571982.000000	108
R03C04	1321418750.000000	610973.500000	98
R03C04	1321419914.000000	652392.000000	92
R03C04	1321421060.000000	685460.000000	82
R03C04	1321422206.000000	714651.000000	85
R03C04	1321423350.000000	382580.500000	62
R03C04	1321424492.000000	785849.500000	66
R03C04	1321425636.000000	817075.500000	68
R03C04	1321426808.000000	869083.500000	56
R03C04	1321427952.000000	899792.000000	50
R03C04	1321429088.000000	939045.000000	47
R03C04	1321430232.000000	170913.000000	52
R03C04	1321431378.000000	1006267.500000	38
R03C04	1321432528.000000	1082975.500000	26
R03C04	1321433688.000000	1102552.000000	13
R03C04	1321434852.000000	1117224.000000	19
R03C04	1321435996.000000	1132918.500000	18
R03C04	1321437138.000000	1146480.500000	15
R03C04	1321438288.000000	1158757.000000	18
R03C04	1321439438.000000	1173329.000000	12
R03C04	1321440590.000000	1201078.000000	12
R03C04	1321441764.000000	1210891.000000	12
R03C04	1321442910.000000	140517.000000	31
R03C04	1321444058.000000	1225384.500000	11
R03C04	1321445206.000000	30080.500000	58
